NP_415169.1	WP_000776104.1	100	100	rlmH	b0636	rlmH	LF82_RS03010														Geneid		LF82_WT_1	LF82_WT_2	LF82_WT_3	SD105_1	SD105_2	SD105_3
NP_417986.4	WP_001266321.1	100	99.396	pdeK	b3529	hmsP	LF82_RS18510														LF82_RS05220	b1034	71.57	54.25	110.35	112.88	186.88	70.5
NP_414923.1	WP_001142439.1	100	100	yaiA	b0389	yaiA	LF82_RS01905														LF82_RS05225	b1035	42.67	28.14	78	56.3	85.36	57.3
NP_416098.1	WP_001298659.1	100	99.505	rspA	b1581	rspA	LF82_RS08220														LF82_RS05230	b1036	145.82	110.52	339.33	107.36	235.69	62.55
NP_414595.1	WP_000800457.1	100	100	surA	b0053	surA	LF82_RS00285														LF82_RS05235	b1037	8.49	7.79	10.06	3.54	3.74	1.49
NP_414613.1	WP_000818231.1	99	99	leuD	b0071	leuD	LF82_RS00375														LF82_RS05240	b1038	1.8	1.45	3.98	3.13	6.65	0.5
YP_026229.1	WP_001135732.1	100	100	hokA	b4455	hokA	LF82_RS18695														LF82_RS05245	b1039	0.81	3.06	4.17	2.29	3.51	2.5
NP_415414.4	WP_000850287.1	100	99.509	dmsA	b0894	dmsA	LF82_RS04310														LF82_RS05250	b1040	2.75	1.29	7.86	2.87	4.7	0.43
NP_415400.1	WP_000188129.1	100	99.383	macB	b0879	macB	LF82_RS04205														LF82_RS05260	b1041	1.6	1.1	0	0.48	0.22	1.12
NP_417244.1	WP_000211919.1	100	98.998	cysJ	b2764	cysJ	LF82_RS14310														LF82_RS05265	b1042	0.58	2.19	9.32	4.92	7.37	0
NP_415354.1	WP_000950322.1	100	98.599	pdeI	b0833	pdeI	LF82_RS03965														LF82_RS05270	b1043	12.07	41.25	77.75	14.73	19.17	3.33
NP_417401.1	WP_000111269.1	100	100	pgk	b2926	pgk	LF82_RS15170														LF82_RS05275	b1044	51.95	71.49	264.11	41.88	28.41	29.58
NP_417161.1	WP_000246591.1	100	98.179	nrdE	b2675	nrdE	LF82_RS13875														LF82_RS05280	b1045	38.5	84.9	230.17	63.33	75.91	51.35
NP_414824.1	WP_001265646.1	100	99.269	ecpD	b0290	ecpD	LF82_RS01455														LF82_RS05285	b1046	70.77	97.68	258.61	95.37	123.74	58.62
NP_415718.6	WP_000733694.1	100	99.157	dhaK	b1200	dhaK	LF82_RS06370														LF82_RS05290	b1047	35.73	24.53	18.55	24.18	67.33	21.2
NP_418489.1	WP_000402206.1	100	99.454	yjcE	b4065	yjcE	LF82_RS21535														LF82_RS05305	b1048	403.07	266.41	633.54	509.98	880.18	348.85
NP_416043.1	WP_000366517.1	100	97.952	yneJ	b1526	yneJ	LF82_RS07815														LF82_RS05310	b1049	548.68	372.07	747.86	735.9	1167.26	637.26
NP_417733.1	WP_000825647.1	100	98.63	yhdV	b3267	acrF	LF82_RS17120														LF82_RS05315	b1050	21.2	36	36.5	40	80.35	21.33
NP_415630.1	WP_000800153.1	100	100	bhsA	b1112	bhsA	LF82_RS05625														LF82_RS05320	b1051	5.6	10.3	21.4	27.75	30.16	18.28
YP_001165321.1	WP_000102278.1	100	100	cydH	b4602	cydH	LF82_RS08620														LF82_RS05330	b1053	21.05	16.24	48.55	31.67	51.19	14.23
YP_001165314.1	WP_000120100.1	98	92.857	ymgI	b4593	ymgG	LF82_RS06205														LF82_RS05335	b1054	64.86	42.92	97.64	67.95	169.69	55.47
NP_414901.1	WP_000114575.1	100	96.727	tauC	b0367	tauC	LF82_RS01810														LF82_RS05340	b1055	141.27	181.92	120.58	138.29	268.03	101.39
YP_026212.2	WP_000493588.1	100	99.254	nirC	b3367	nirC	LF82_RS17635														LF82_RS05345	b1056	26.05	16.05	78.69	35.94	36.71	10.38
NP_418546.1	WP_000066699.1	100	99.27	fumB	b4122	fumB	LF82_RS21865														LF82_RS05350	b1057	16.56	20.22	52.81	43.58	48.62	11.53
NP_415754.1	WP_000068083.1	100	98.537	tdk	b1238	tdk	LF82_RS06600														LF82_RS05355	#N/A	2	1	5.14	10.59	5.92	1.33
NP_416367.1	WP_001056695.1	100	99.308	yebK	b1853	hexR	LF82_RS09655														LF82_RS05360	b1059	78.83	56.42	167.02	107.7	165.45	46.25
YP_001165308.1	WP_072093903.1	100	84.848	ylcH	b4588	ybcK	LF82_RS25110														LF82_RS05365	b1060	87.25	42.14	125.91	163.93	224.17	57.08
NP_418547.1	WP_000899522.1	100	100	dcuB	b4123	dcuB	LF82_RS21870														LF82_RS05370	b1061	44	47	71.29	98	162.67	41.14
NP_417996.1	WP_014640225.1	100	98.109	yhjV	b3539	yhjV	LF82_RS18570														LF82_RS05375	b1062	94.9	72.72	142.75	115.79	205.73	110.7
NP_417450.1	WP_000084095.1	100	98.064	glcB	b2976	glcB	LF82_RS15570														LF82_RS05380	b1063	76.1	72.84	147.25	159.91	182.89	45.37
NP_416554.1	WP_000699753.1	100	98.526	wcaI	b2050	wcaI	LF82_RS10825														LF82_RS05385	b1064	31.37	20.55	54.27	46.44	56.43	27
NP_418591.1	WP_015912590.1	100	98.537	mutL	b4170	mutL	LF82_RS22395														LF82_RS05390	b1065	18.6	12.28	53.09	42.81	27.93	18.89
NP_415935.2	WP_001350640.1	100	98.295	cybB	b1418	cybB	LF82_RS07285														LF82_RS05395	b1066	30.91	23	115.75	60.06	55.48	24.74
NP_417644.4	WP_000764750.1	100	99.645	folP	b3177	folP	LF82_RS16650														LF82_RS05400	b1067	34.02	26.67	128.49	80.53	66.51	42.67
NP_415794.1	WP_001256550.1	100	99.213	pgpB	b1278	pgpB	LF82_RS06815														LF82_RS05405	b1068	34.52	18.55	108.92	59.14	52.67	36.67
NP_416463.4	WP_000844800.1	100	100	yodD	b1953	yodD	LF82_RS10140														LF82_RS05410	b1069	79.71	70.62	67.18	71.7	96.2	48.27
NP_414991.4	WP_000136192.1	100	100	ylaC	b0458	ylaC	LF82_RS02255														LF82_RS05415	b1070	222.08	500.5	1461.56	549.28	566.1	175.75
NP_415201.1	WP_000153129.1	100	100	umpH	b0675	nagD	LF82_RS03150														LF82_RS05420	b1071	82.83	269	859.03	308.75	322.25	97.5
NP_416341.1	WP_001262189.1	100	98.859	kdgR	b1827	kdgR	LF82_RS09500														LF82_RS05425	b1072	175	236.81	936.33	281.25	197.23	146.87
YP_026262.1	WP_000339107.1	100	99.662	rarD	b3819	rarD	LF82_RS20030														LF82_RS05430	b1073	175.92	364.75	1039.18	266.79	231.27	179.28
NP_417918.1	WP_000130217.1	100	100	rpoH	b3461	rpoH	LF82_RS18120														LF82_RS05435	b1074	114.52	205.49	669.25	205.53	163.88	160.37
NP_415403.1	WP_000934041.1	100	100	clpA	b0882	clpA	LF82_RS04220														LF82_RS05440	b1075	268	431.53	1364.99	450.25	353.55	295.9
NP_416270.1	WP_001298231.1	100	95.853	ynjD	b1756	ynjD	LF82_RS09125														LF82_RS05445	b1076	470.58	779.33	2356.33	872.03	747.27	604.48
YP_026192.1	WP_000896890.1	100	99.718	yghQ	b2983	lptF	LF82_RS15645														LF82_RS05450	b1077	226.73	335.61	1087.29	388.29	326.54	341.32
NP_415427.1	WP_000057158.1	100	98.895	serC	b0907	serC	LF82_RS04360														LF82_RS05455	b1078	348.42	761.99	1863.74	730.7	604.92	466.45
NP_418248.1	WP_000026059.1	100	97.967	hemD	b3804	hemD	LF82_RS19950														LF82_RS05460	b1079	152.05	248.59	616.59	214.64	212.22	175
NP_415437.1	WP_000350058.1	100	100	ycaR	b0917	ycaR	LF82_RS04410														LF82_RS05465	b1080	150.29	272.17	698.23	237.62	232.64	191.44
NP_414971.1	WP_000122253.1	100	100	clpP	b0437	clpP	LF82_RS02155														LF82_RS05470	b1081	128.42	206.92	527.81	200.87	216.82	161.38
NP_415205.1	WP_001023115.1	100	99.228	nagE	b0679	nagE	LF82_RS03170														LF82_RS05475	b1082	200.64	584.76	1236.79	541.29	583.14	276.01
NP_414743.1	WP_000997016.1	100	97.378	dkgB	b0207	dkgB	LF82_RS01080														LF82_RS05480	b1083	111.23	364.02	908.94	349.44	378.12	180.93
NP_416157.1	WP_000835066.1	100	99.458	anmK	b1640	anmK	LF82_RS08530														LF82_RS05485	b1084	1323.88	779.8	1446.37	1586.57	2277.9	1058.01
NP_414919.1	WP_000484068.1	100	99.191	dgcC	b0385	adrA	LF82_RS01885														LF82_RS05495	b1086	281.82	217.75	146.72	103.12	203.81	66.83
NP_418072.1	WP_000982068.1	100	98.837	waaH	b3615	waaH	LF82_RS18975														LF82_RS05500	b1087	35.95	36.12	88.05	40.83	56.9	34.45
NP_418487.1	WP_000412431.1	100	99.351	soxR	b4063	soxR	LF82_RS21525														LF82_RS05505	b1088	2526.27	2087.74	2384.79	1774.89	2918.35	1098.42
NP_415722.1	WP_000152933.1	100	100	pth	b1204	pth	LF82_RS06390														LF82_RS05510	b1089	1144.16	958.37	1640.45	934	1491.14	426.57
NP_417514.4	WP_001357687.1	99	85.263	ubiK	b3042	ubiK	LF82_RS16040														LF82_RS05515	b1090	4112.45	4256.31	4996.25	3090.07	4952.92	1373.95
NP_416243.1	WP_001010714.1	100	99.352	tcyP	b1729	tcyP	LF82_RS08990														LF82_RS05520	b1091	393.88	278.13	427.97	378.17	633.36	315.21
NP_417459.1	WP_001076282.1	100	97.89	yghS	b2985	yghS	LF82_RS15655														LF82_RS05525	b1092	498.46	368.63	687.64	541.63	860.82	496.83
NP_416146.1	WP_000915678.1	100	94.065	rsxC	b1629	rsxC	LF82_RS08470														LF82_RS05530	b1093	943.58	768.7	1456.62	1163.56	1643.02	741.48
NP_417176.1	WP_000906486.1	100	100	csrA	b2696	csrA	LF82_RS13975														LF82_RS05535	b1094	6952.5	7335.04	12440.7	8285.42	10953.61	4026.31
NP_416611.1	WP_000405732.1	100	97.965	yehA	b2108	yehA	LF82_RS11100														LF82_RS05540	b1095	1244.76	941.77	1912.63	1375.89	2228.59	1108.2
NP_416881.1	WP_000544377.1	100	99.823	pyrS	b2380	ypdA	LF82_RS12415														LF82_RS05545	b1096	37	33.03	51.16	32.18	51.23	29.1
NP_417222.1	WP_001272592.1	100	100	nlpD	b2742	nlpD	LF82_RS14235														LF82_RS05550	b1097	57.24	48.6	100.17	48.66	81.82	38.75
NP_415292.2	WP_000593913.1	100	98.938	ybhJ	b0771	ybhJ	LF82_RS03640														LF82_RS05555	b1098	51.98	109.27	90.32	41.82	68.78	32.17
NP_415494.1	WP_000003644.1	100	95.897	hyaD	b0975	hyaD	LF82_RS04680														LF82_RS05560	b1099	93.04	61.73	106.37	61.46	132.86	45.22
NP_416132.2	WP_001226994.1	100	99.287	uidC	b1615	uidC	LF82_RS08395														LF82_RS05565	b1100	100.7	67.83	136.87	72.25	135.49	52.08
NP_415684.1	WP_000888771.1	100	97.727	ariR	b1166	ariR	LF82_RS06160														LF82_RS05570	b1101	134.56	63.14	260.01	87.35	177.07	120.26
NP_414941.1	WP_000007629.1	100	100	yajC	b0407	yajC	LF82_RS02000														LF82_RS05575	b1102	20.4	20.35	33.45	47.07	36.56	18.66
NP_417971.1	WP_000024848.1	100	99.421	mdtF	b3514	mdtF	LF82_RS18430														LF82_RS05580	b1103	73	26	140.22	80.61	128	34.25
NP_415376.4	WP_000996010.1	100	99.469	potG	b0855	potG	LF82_RS04080														LF82_RS05585	b1104	84.14	45.14	150.69	129.5	168	53.5
NP_415970.4	WP_001340130.1	100	99.599	ansP	b1453	yncG	LF82_RS07455														LF82_RS05590	b1105	75.95	33.5	168.66	115.95	149.94	67.5
NP_418505.2	WP_001275182.1	100	97.657	mdtO	b4081	mdtO	LF82_RS21655														LF82_RS05595	b1106	67	48.13	134.53	90.98	121.51	31.97
NP_415784.1	WP_014640137.1	97	95.41	yciQ	b1268	yciQ	LF82_RS06740														LF82_RS05600	b1107	54.83	51.28	146.17	99.14	145.63	70.44
NP_418807.4	WP_000093813.1	100	99.756	nadR	b4390	nadR	LF82_RS23460														LF82_RS05605	b1108	42.79	28.25	143.9	85.52	107.55	55.62
NP_418443.1	WP_000096035.1	100	99.348	metH	b4019	metH	LF82_RS21215														LF82_RS05610	b1109	17.27	88.1	37.23	99.12	425.1	132.14
NP_417609.1	WP_000534351.1	100	99.62	agaD	b3140	agaD	LF82_RS16485														LF82_RS05615	b1110	25	19.73	20.27	48.7	112.04	33.81
NP_415188.1	WP_001298614.1	100	99.007	gltI	b0655	gltI	LF82_RS03070														LF82_RS05620	b1111	30.87	24.75	68.44	36.34	48.28	7.02
YP_002791244.1	WP_072093883.1	100	90.476	yobI	b4677	yobI	LF82_RS25260														LF82_RS05625	b1112	3.14	5.55	1.5	8.25	12.58	2
NP_414683.1	WP_001314434.1	100	86.224	yadN	b0141	htrE	LF82_RS00755														LF82_RS05630	b1113	36.62	24.87	48.34	36.25	40.37	10.2
NP_415276.1	WP_001295305.1	100	100	gpmA	b0755	gpmA	LF82_RS03560														LF82_RS05635	b1114	375.58	312.08	515.56	314.35	446.33	192.27
NP_415369.1	WP_000681104.1	100	99.2	ybjM	b0848	ybjM	LF82_RS04040														LF82_RS05640	b1115	13.52	3.87	9.6	8.03	12.44	2.8
NP_415632.1	WP_001443233.1	100	99.303	mfd	b1114	mfd	LF82_RS05635														LF82_RS05645	b1116	153.74	108.25	221.08	125.13	230.95	89.96
NP_417072.4	WP_001298616.1	100	97.611	yfiE	b2577	yfiE	LF82_RS13305														LF82_RS05650	b1117	61.37	41.93	82.54	49.56	85.98	40.76
NP_415056.1	WP_001295318.1	100	100	purE	b0523	purE	LF82_RS02570														LF82_RS05655	b1118	121.98	79.13	185.39	129.21	206.82	88.17
NP_418468.3	WP_001562441.1	96	98.866	dinF	b4044	dinF	LF82_RS21395														LF82_RS05660	b1119	104.42	62.32	137.6	112.36	172.34	90.17
NP_416219.1	WP_001082224.1	100	99.425	aroH	b1704	aroH	LF82_RS08865														LF82_RS05665	b1120	80.08	49.16	129.24	99.28	121.59	79.33
NP_414547.1	WP_000906188.1	100	98.062	yaaA	b0006	yaaA	LF82_RS00030														LF82_RS05670	b1121	20.57	7.67	25.02	26.55	43.87	7.75
NP_416801.2	WP_001274489.1	100	99.802	yfcC	b2298	yfcC	LF82_RS12080														LF82_RS05675	b1122	23.35	25.12	27.54	18.22	61.03	8.4
NP_417431.1	WP_000745184.1	100	98.209	yggM	b2956	yggM	LF82_RS15350														LF82_RS05680	b1123	270.91	232.7	440.59	275.84	455.02	187.84
NP_417068.1	WP_001295364.1	100	100	rpoE	b2573	rpoE	LF82_RS13280														LF82_RS05685	b1124	39	34.96	42.84	40.33	75.08	51.96
NP_415745.1	WP_001160110.1	100	99.556	narI	b1227	narI	LF82_RS06515														LF82_RS05690	b1125	49.81	39.31	32.11	40.03	82.54	66.58
NP_414925.1	WP_000941942.1	100	100	ppnP	b0391	ppnP	LF82_RS01930														LF82_RS05695	b1126	136.67	88.93	86.23	111.95	237.47	129.86
YP_025302.1	WP_000854639.1	100	99.586	uxaB	b1521	uxaB	LF82_RS07790														LF82_RS05705	b1127	64.5	47.53	197.95	55.76	68.6	28.73
NP_417652.1	WP_000940595.1	100	100	rpmA	b3185	rpmA	LF82_RS16690														LF82_RS05710	b1128	212.39	143.83	328.5	231.83	343.9	125.1
NP_418607.1	WP_000943955.1	100	98.966	yjfC	b4186	yjfC	LF82_RS22475														LF82_RS05715	b1129	115.12	81.23	187.03	142	217.42	114.38
NP_415132.1	WP_001120423.1	100	98.343	hcxA	b0599	hcxA	LF82_RS02835														LF82_RS05720	b1130	81.75	55.83	121	110.89	129.83	71.5
NP_417556.2	WP_001295542.1	100	98.802	ygjP	b3085	ygjP	LF82_RS16235														LF82_RS05725	b1131	280.7	201.42	336.25	282.91	558.77	288.55
NP_417883.1	WP_000371926.1	100	99.074	glpE	b3425	glpE	LF82_RS17895														LF82_RS05730	b1132	209.49	147.77	126.93	155.92	303.9	110.79
YP_026238.1	WP_001198730.1	100	99.024	dgoA	b4477	dgoA	LF82_RS19400														LF82_RS05735	b1133	394.27	322.2	263.02	365.06	683.85	276.72
NP_416831.1	WP_001043802.1	100	98.54	mepA	b2328	mepA	LF82_RS12230														LF82_RS05740	b1134	35.5	15.5	35	44.97	60.92	31
NP_414696.1	WP_000045295.1	100	99.296	hemL	b0154	hemL	LF82_RS00820														LF82_RS05745	b1135	39.17	40.2	65.39	65.27	124.46	25.5
NP_414680.4	WP_000591066.1	100	76.19	yadM	b0138	yadL	LF82_RS00740														LF82_RS05750	b1136	1079.79	632.66	2323.93	1786.29	2507.71	1632.04
NP_415775.4	WP_000807651.1	100	100	yciG	b1259	yciG	LF82_RS06700														LF82_RS05755	b1140	5.37	3.35	13.18	4.27	12.34	2.63
NP_416148.1	WP_000920799.1	100	99.029	rsxG	b1631	rsxG	LF82_RS08480														LF82_RS05760	b1141	0.58	0.06	2.7	0	1.56	1.12
NP_415012.1	WP_001251634.1	100	99.754	fsr	b0479	fsr	LF82_RS02365														LF82_RS05765	#N/A	0.5	0	1.7	1.16	1.12	0.38
NP_417619.1	WP_000646033.1	100	100	dolP	b3150	dolP	LF82_RS16515														LF82_RS05770	#N/A	0	0	0	0	0	0
NP_418372.1	WP_000702296.1	100	95.545	yiiX	b3937	yiiX	LF82_RS20755														LF82_RS05775	#N/A	0	0.14	1.64	1.12	5.03	2.33
NP_417700.2	WP_001295270.1	100	100	zapG	b3233	zapG	LF82_RS16895														LF82_RS05785	#N/A	0	0	0.47	0	2.12	0.67
NP_416973.1	WP_001295469.1	100	99.658	dapA	b2478	dapA	LF82_RS12865														LF82_RS05790	#N/A	2.17	1.58	1	0.45	0.83	1
NP_417171.1	WP_001296316.1	100	99.805	emrB	b2686	emrB	LF82_RS13925														LF82_RS05795	#N/A	1	0.61	5.23	3.61	2.32	2.83
NP_417348.1	WP_001107125.1	100	100	ygeY	b2872	ygeY	LF82_RS14920														LF82_RS05800	#N/A	23.39	22.52	45.41	33.28	45.6	23.5
NP_416702.1	WP_000186540.1	100	100	ccmD	b2198	ccmD	LF82_RS11580														LF82_RS05805	#N/A	1	0.25	0.67	0.44	0.2	0
NP_417796.1	WP_000289085.1	100	100	bfd	b3337	bfd	LF82_RS17475														LF82_RS05810	#N/A	0	0	1.07	1.32	3.68	0.2
NP_415574.1	WP_000749266.1	100	99.476	yceI	b1056	yceI	LF82_RS05345														LF82_RS05815	#N/A	249.33	208.39	666.22	769.87	650.39	238.2
NP_414949.1	WP_001021161.1	100	100	ribE	b0415	ribE	LF82_RS02040														LF82_RS05820	#N/A	191.49	99.78	578.45	332.08	265.1	105.52
NP_414748.1	WP_001052743.1	100	99.203	gloB	b0212	gloB	LF82_RS01105														LF82_RS05825	#N/A	88.88	43.53	284.99	137.77	102.25	33.3
NP_418423.1	WP_000934308.1	100	98.101	rsd	b3995	rsd	LF82_RS21090														LF82_RS05830	#N/A	0.42	0.5	1.28	1.48	1.04	0
NP_417749.1	WP_000022450.1	100	98.54	mscL	b3291	mscL	LF82_RS17240														LF82_RS05835	#N/A	0.5	0.18	0.7	0.18	1.5	0.12
NP_418755.4	WP_001298064.1	100	99.478	yjiM	b4335	yjiM	LF82_RS23180														LF82_RS05840	#N/A	2.61	5.91	12.62	3.26	2.42	3.35
NP_416842.1	WP_001195816.1	100	98.137	sixA	b2340	sixA	LF82_RS12290														LF82_RS05845	#N/A	0.64	0.14	3.83	0.38	0.47	0.75
NP_416150.1	WP_001030339.1	100	100	nth	b1633	nth	LF82_RS08490														LF82_RS05850	#N/A	1.49	0.33	3.19	2.55	3.56	0.06
NP_415195.1	WP_000184559.1	100	97.187	ubiF	b0662	ubiF	LF82_RS03105														LF82_RS05855	b0543	18.98	17.62	35.5	20.19	50.91	6.5
NP_416953.1	WP_000582977.1	100	100	eutD	b2458	pta	LF82_RS12750														LF82_RS25585	b4733	9.83	18.83	19.56	10.57	19.21	4
NP_418040.1	WP_000893157.1	100	96.104	sgbE	b3583	araD	LF82_RS18835														LF82_RS05865	b0544	6.87	3.76	14.67	6.81	18.14	8.13
NP_417633.4	WP_001298330.1	100	99.719	pnp	b3164	pnp	LF82_RS16585														LF82_RS05875	#N/A	41.95	43.27	154.46	47.27	60.75	15.67
NP_418504.1	WP_000610605.1	100	98.156	mdtP	b4080	mdtP	LF82_RS21650														LF82_RS25110	b4588	13.1	11.5	30.48	12.85	26.63	0.5
NP_417483.2	WP_001298382.1	94	99.666	yqhC	b3010	yqhC	LF82_RS15775														LF82_RS05880	b0547	4.82	5.33	6.82	6.29	7.25	5.89
NP_416884.1	WP_000955876.1	100	98.315	fryA	b2383	ptsP	LF82_RS12430														LF82_RS05885	b0548	0.04	0.5	1.25	0.05	0	0.5
NP_417957.1	WP_000160795.1	100	99.111	gor	b3500	gorA	LF82_RS18320														LF82_RS05890	b0549	0.17	0.12	1.11	0.2	0.5	0.38
NP_417927.1	WP_000130621.1	100	100	tusA	b3470	tusA	LF82_RS18165														LF82_RS05895	b0550	1.5	0	0.5	1	0.78	0.21
NP_416808.1	WP_000156131.1	100	95.608	rpnB	b2305	rpnB	LF82_RS12115														LF82_RS05900	b4509	0	0.12	0	0.19	1	0
NP_416726.1	WP_000339055.1	100	99.537	atoA	b2222	atoA	LF82_RS11710														LF82_RS05905	b0553	5.42	9.02	19.5	6.07	7.35	2.33
NP_417173.1	WP_000611804.1	100	100	gshA	b2688	gshA	LF82_RS13935														LF82_RS05910	#N/A	35.6	50.79	341.33	1800.28	1574.52	537.22
NP_418275.1	WP_000045178.1	100	100	udp	b3831	udp	LF82_RS20175														LF82_RS05915	b0554	1.56	1	6	1.05	0.06	0
NP_415979.2	WP_000077285.1	100	96.296	yddH	b1462	yddH	LF82_RS07535														LF82_RS05920	#N/A	1.44	2.39	1.83	1	0.2	1.5
NP_416571.1	WP_000043676.1	100	97.738	dgcE	b2067	dgcE	LF82_RS10910														LF82_RS05925	#N/A	93	151.2	342.12	73.33	114.58	27
NP_414555.1	WP_000516135.1	100	100	dnaK	b0014	dnaK	LF82_RS00065														LF82_RS05930	#N/A	5	1.9	6.03	0.47	0.3	1.5
NP_418797.1	WP_001143203.1	100	99.225	yjjI	b4380	yjjI	LF82_RS23405														LF82_RS26100	#N/A	13	7	9.83	6	1.17	5
NP_416379.1	WP_077393227.1	100	97.333	nudB	b1865	nudB	LF82_RS09715														LF82_RS25120	b4510	0.4	0.69	0.06	2.19	0.12	1.33
NP_414854.1	WP_000111851.1	100	97.67	yahF	b0320	fdrA	LF82_RS01660														LF82_RS26105	#N/A	181.5	131.5	260.42	217.08	326.12	36.5
NP_416239.1	WP_000267670.1	100	99.65	yniA	b1725	yniA	LF82_RS08970														LF82_RS05940	b0557	211.15	181.75	266.31	250.5	356.57	99
NP_415296.1	WP_000951218.1	100	99.711	bioB	b0775	bioB	LF82_RS03665														LF82_RS05950	#N/A	3.25	3	10.77	5.1	9.88	2.2
NP_416894.1	WP_000376337.1	100	100	nupC	b2393	nupC	LF82_RS12480														LF82_RS25940	#N/A	2.06	3.5	11	4.55	3	0.5
NP_416221.1	WP_000175578.1	100	97.699	selO	b1706	selO	LF82_RS08875														LF82_RS05970	b0560	8.11	2	6.56	3	4.21	4.33
YP_026286.1	WP_000205813.1	100	99.4	ytfR	b4485	ytfR	LF82_RS22715														LF82_RS05975	#N/A	3.42	9.04	10.79	5.24	15.46	3.5
NP_415121.1	WP_000640938.1	100	97.576	fepG	b0589	fepG	LF82_RS02780														LF82_RS05980	#N/A	2	0	0.64	1.5	0	0
NP_416555.2	WP_015912529.1	100	94.34	gmm	b2051	gmm	LF82_RS10830														LF82_RS05985	#N/A	7.85	2.81	8.43	7.26	5.45	2.31
NP_415554.4	WP_001308552.1	100	98.773	ycdZ	b1036	ycdZ	LF82_RS05230														LF82_RS05990	#N/A	12.82	10.5	17.34	13.93	31.85	4.63
NP_416721.1	WP_001061917.1	100	100	rcsB	b2217	rcsB	LF82_RS11685														LF82_RS05995	#N/A	0.26	1.1	4.08	0	0.5	0
NP_415213.1	WP_000848387.1	100	100	seqA	b0687	seqA	LF82_RS03265														LF82_RS06000	#N/A	2.7	2.92	7.22	4.7	5.87	1.64
NP_414961.4	WP_001000985.1	100	98.899	yajR	b0427	yajR	LF82_RS02100														LF82_RS06005	#N/A	1.25	1.46	5.17	0	1	0.33
NP_414733.1	WP_000635528.1	100	97.143	arfB	b0191	arfB	LF82_RS01000														LF82_RS06010	#N/A	0.33	2	2.75	3.31	2.04	0
NP_416724.1	WP_000125281.1	100	99.783	atoC	b2220	atoC	LF82_RS11700														LF82_RS06015	#N/A	3.92	0.42	6.34	0.19	2.93	0
NP_414625.1	WP_000625658.1	100	100	ftsL	b0083	ftsL	LF82_RS00435														LF82_RS06020	#N/A	2.06	1	0.64	4.07	5.81	2
NP_418109.1	WP_000678406.1	100	98.846	recG	b3652	recG	LF82_RS19145														LF82_RS06025	#N/A	5.53	2.24	6.56	1.1	0.39	1
NP_415980.1	WP_000187876.1	100	96.441	nhoA	b1463	nhoA	LF82_RS07540														LF82_RS06030	#N/A	0.7	2.27	3.51	0	2.36	0.62
NP_416323.4	WP_001351125.1	100	99.123	yoaB	b1809	yoaB	LF82_RS09385														LF82_RS06035	#N/A	2.11	0.63	4.25	0.1	3.06	6
NP_417699.1	WP_001192323.1	100	98.667	zapE	b3232	zapE	LF82_RS16890														LF82_RS06040	#N/A	3.8	3.95	9.51	3.31	5.3	2.58
NP_417935.1	WP_001008954.1	100	99.278	nikC	b3478	nikC	LF82_RS18205														LF82_RS06045	#N/A	3.2	0.07	2	2.2	0.38	1.98
NP_418512.1	WP_001361478.1	100	99.678	alsB	b4088	alsB	LF82_RS21695														LF82_RS06050	#N/A	2.17	0.67	2.57	3.52	6.37	2
NP_416278.1	WP_001298241.1	100	99.712	selD	b1764	selD	LF82_RS09160														LF82_RS06055	#N/A	0.33	2.28	2.31	0.93	2.5	0.39
NP_418358.1	WP_000323555.1	100	99.296	uspD	b3923	uspD	LF82_RS20685														LF82_RS06060	#N/A	3.21	2.75	3.34	2.5	3.06	0.75
NP_415647.1	WP_000734671.1	100	99.794	phoQ	b1129	phoQ	LF82_RS05715														LF82_RS06065	#N/A	7.54	7.31	11.7	6.86	12.9	3.32
NP_418064.1	WP_001277561.1	100	100	cysE	b3607	cysE	LF82_RS18935														LF82_RS06070	#N/A	2	1.65	0.4	1	2.18	2
NP_415612.1	WP_000103754.1	100	100	acpP	b1094	acpP	LF82_RS05535														LF82_RS06080	#N/A	2.76	7.55	8.91	6.09	13.09	2.41
NP_417740.1	WP_000451241.1	100	96.691	aroE	b3281	aroE	LF82_RS17195														LF82_RS06085	#N/A	1.46	0	3	1.25	3.1	1
NP_418177.1	WP_000643246.1	99	98.276	bglB	b3721	bglB	LF82_RS19545														LF82_RS06090	#N/A	0.18	0	1.43	0.5	1.17	0.33
NP_417728.4	WP_001258951.1	100	97.959	yhdJ	b3262	yhdJ	LF82_RS17090														LF82_RS06095	#N/A	11.22	13.44	21.01	17	33.11	5.95
NP_416912.1	WP_000522247.1	100	100	crr	b2417	crr	LF82_RS12605														LF82_RS06100	#N/A	8.14	9.35	18.88	17.35	23.69	8.54
NP_418680.1	WP_000786399.1	100	99.32	holC	b4259	holC	LF82_RS22865														LF82_RS06105	#N/A	9.81	15.34	29.13	35.77	51.56	15.22
NP_417012.1	WP_000003317.1	100	100	rlmN	b2517	rlmN	LF82_RS13020														LF82_RS06110	#N/A	12.88	18.97	28.6	58.56	69.14	14.85
NP_416648.1	WP_000553553.1	100	99.66	cdd	b2143	cdd	LF82_RS11285														LF82_RS06120	#N/A	18	14.59	40.21	51.86	57.78	16.57
NP_416651.1	WP_001136311.1	100	97.573	preT	b2146	preT	LF82_RS11300														LF82_RS23950	#N/A	58.17	51.5	146.5	132.59	164.4	101
