acc_MG	acc_LF82	Perc_cov	Perc_id	gene_name_MG	gene_id_MG	gene_name_LF82	gene_id_LF82	Log2FC_LF82	padj_LF82	Log2FC_MG	padj_MG
NP_416835.2	WP_000753501.1	100	51.034	yfcO	b2332	smrB	LF82_RS12255	-0.178912743	0.616924358	0.088091389	0.723128823
NP_417755.1	WP_000135224.1	100	100	rpsD	b3296	rpsD	LF82_RS17270	-0.002735503	0.994131209	-0.110236227	0.278073594
NP_416191.1	WP_001304331.1	100	99.787	pykF	b1676	pykF	LF82_RS08715	0.736399709	0.025917498	-0.559550158	1.20015E-12
NP_418303.2	WP_000116108.1	100	99.562	hemN	b3867	hemN	LF82_RS20375	0.150426176	0.575234055	0.10546661	0.363050593
NP_418317.1	WP_000094544.1	99	66.667	yihT	b3881	yihU	LF82_RS20455	-0.179377542	0.614441267	-0.115368684	NA
NP_418294.1	WP_001052151.1	100	95.361	mobA	b3857	mobA	LF82_RS20325	-0.095644088	0.811483222	-0.031481385	0.915454242
NP_415429.2	WP_001313710.1	100	97.638	ycaL	b0909	ycaL	LF82_RS04370	0.305365189	0.371723393	0.103891093	0.701638722
YP_026207.1	WP_000809774.1	100	100	arcB	b3210	arcB	LF82_RS16815	-0.390917649	0.089083539	0.682117382	4.59616E-14
NP_417786.1	WP_001109555.1	100	97.99	gspF	b3327	gspF	LF82_RS17425	0.010962356	NA	0.211303796	0.441740731
NP_416549.1	WP_000770795.1	100	98.826	wcaK	b2045	wcaK	LF82_RS10800	-0.002942641	NA	-0.016210339	0.958423447
NP_418411.1	WP_001096684.1	100	100	rplA	b3984	rplA	LF82_RS21035	0.041688426	0.921141896	-0.052006471	0.553281912
NP_418689.1	WP_000896738.1	100	100	idnK	b4268	idnK	LF82_RS22910	0.028613905	NA	-0.143532319	NA
NP_418598.1	WP_000527955.1	100	100	purA	b4177	purA	LF82_RS22430	-0.147126094	0.634936918	0.155456065	0.03296853
NP_414712.1	WP_000818114.1	100	100	tsf	b0170	tsf	LF82_RS00890	-0.035745494	0.930090016	-0.339557211	2.40819E-05
NP_417289.2	WP_000750398.1	100	100	ygdI	b2809	ygdI	LF82_RS14555	0.205154484	0.564322267	0.184835714	0.51246933
NP_416390.1	WP_001025326.1	100	99.827	argS	b1876	argS	LF82_RS09770	0.331141811	0.303884536	-0.46781525	1.03785E-07
NP_418221.1	WP_000365771.1	99	98.986	ilvY	b3773	ilvY	LF82_RS19795	-0.010077931	0.980160802	-0.074157812	0.720663737
NP_416120.1	WP_001298661.1	100	99.804	pntA	b1603	pntA	LF82_RS08335	0.407754463	0.166979639	-0.428523493	5.73985E-05
NP_417082.1	WP_001350300.1	100	98.611	kgtP	b2587	kgtP	LF82_RS25795	-0.529407412	0.045613793	0.256005835	0.001161224
NP_417723.1	WP_000381175.1	100	97.5	yhdT	b3257	yhdT	LF82_RS17065	-0.448569858	0.154117099	-0.259340536	0.29925994
NP_416733.4	WP_000012320.1	100	97.865	yfaA	b2230	yfaA	LF82_RS11745	-0.004213467	0.991004855	-0.003179501	0.988365285
NP_417701.1	WP_001298588.1	100	99.341	degQ	b3234	degQ	LF82_RS16900	-0.200959151	0.489701701	0.135322856	0.444108742
NP_418479.1	WP_014640251.1	100	99.156	aphA	b4055	aphA	LF82_RS21485	-0.123176179	0.745602376	0.24264807	0.199862346
NP_415489.4	WP_000904439.1	100	99.083	tusE	b0969	tusE	LF82_RS04650	0.067927825	0.867909231	-0.010968079	0.96079109
NP_416768.4	WP_001191428.1	100	98.84	menF	b2265	menF	LF82_RS11930	-0.190307068	0.544738534	0.03948733	0.815930891
NP_415038.1	WP_000776372.1	100	98.75	allA	b0505	allA	LF82_RS02485	-0.031755119	NA	0.306059752	NA
NP_418517.1	WP_001110514.1	100	99.306	phnO	b4093	phnO	LF82_RS21720	-0.077806148	0.852210043	0.052372418	0.867947609
NP_416867.1	WP_000426394.1	100	98.869	dsdA	b2366	dsdA	LF82_RS12340	-0.076665773	0.802668612	0.00782466	0.977791904
NP_417303.1	WP_000857043.1	100	92.216	ppdA	b2826	ppdA	LF82_RS14770	-0.214346093	NA	-0.187828279	0.503837089
NP_415402.1	WP_000520781.1	100	100	clpS	b0881	clpS	LF82_RS04215	0.09214231	0.813374137	0.460327855	0.007423295
NP_416238.1	WP_000146149.1	100	98.958	ydiZ	b1724	ghoS	LF82_RS08965	-0.004351837	NA	0.118167096	NA
NP_417969.1	WP_000576690.1	100	100	gadE	b3512	gadE	LF82_RS18415	-0.02026014	0.958258729	0.85246334	NA
NP_417922.1	WP_000743193.1	100	100	rsmD	b3465	rsmD	LF82_RS18140	0.375829365	0.182086094	-0.578736938	0.001546203
YP_588460.1	WP_001216963.1	100	100	yohO	b4542	yohO	LF82_RS11205	0.440121444	0.138239062	-0.959558847	0.000155091
NP_417770.1	WP_000130100.1	100	100	rpsQ	b3311	rpsQ	LF82_RS17345	-0.00966716	0.981805415	-0.188019631	0.031214193
NP_418096.4	WP_000050149.1	100	99.754	dfp	b3639	coaBC	LF82_RS19080	0.125550939	0.673424329	-0.039910301	0.784717561
NP_417998.1	WP_001196477.1	100	99.388	dppD	b3541	dppD	LF82_RS18580	-0.376989425	0.258009142	-0.058297108	0.843975602
NP_418001.1	WP_001222871.1	100	99.813	dppA	b3544	dppA	LF82_RS18600	-0.205426463	0.563754307	-0.05452425	0.747314741
NP_415293.1	WP_001091553.1	100	99.063	ybhC	b0772	ybhC	LF82_RS03645	0.768205752	0.001389319	-1.006790029	4.62213E-23
NP_417666.1	WP_000030537.1	100	100	lptC	b3199	lptC	LF82_RS16760	-0.284806674	0.260191437	0.214518024	0.052702693
NP_415252.1	WP_001235263.1	100	99.58	sdhB	b0724	sdhB	LF82_RS03400	0.034303326	0.935430009	0.384606716	0.013126112
NP_418276.1	WP_000347728.1	100	99.368	rmuC	b3832	rmuC	LF82_RS20210	0.196919395	0.55773139	-0.296483649	0.060852226
NP_414622.1	WP_000762401.1	100	100	cra	b0080	cra	LF82_RS00420	-0.162111385	0.649902704	0.212424401	0.089712832
NP_415484.1	WP_000847791.1	100	100	yccT	b0964	yccT	LF82_RS04620	0.121351487	NA	-0.013783495	NA
NP_415412.1	WP_000067755.1	100	100	rarA	b0892	rarA	LF82_RS04300	0.270292229	0.285046555	-0.290169936	0.009614898
NP_417862.1	WP_001309803.1	100	99.63	pck	b3403	pckA	LF82_RS17790	0.649754293	0.047645676	0.010987558	0.921081344
NP_417038.4	WP_001305234.1	100	97.857	yphA	b2543	yphA	LF82_RS13120	0.133165456	0.72122102	0.08626231	0.778213552
NP_416583.1	WP_000137877.1	100	100	baeR	b2079	baeR	LF82_RS10965	-0.199230028	0.564322267	-0.201900836	0.283885333
NP_416991.2	WP_001307333.1	100	100	hda	b2496	hda	LF82_RS12895	0.475579298	0.060250588	-0.193843902	0.199140583
NP_416397.1	WP_000036371.1	100	99.427	cheB	b1883	cheB	LF82_RS09800	0.044592493	0.913376407	-0.474274088	0.02910401
NP_417732.1	WP_001273310.1	100	99.516	acrF	b3266	acrF	LF82_RS17110	-0.305893683	0.340967237	-0.015933286	0.949363243
NP_418502.1	WP_001296650.1	100	99.563	yjcO	b4078	yjcO	LF82_RS21610	-0.179422572	0.608787717	0.82106183	2.35883E-05
NP_417321.2	WP_000656011.1	100	98.982	yqeF	b2844	yqeF	LF82_RS14870	0.011905549	0.979180406	-0.373402673	0.108324975
NP_418652.2	WP_000595990.1	100	98.489	yjfF	b4231	yjfF	LF82_RS22725	0.051626042	0.89907963	-0.016364594	0.958522111
NP_415356.1	WP_000049378.1	100	99.773	rimO	b0835	rimO	LF82_RS03975	-0.064851257	0.872650326	-0.147092632	0.200129065
NP_416364.1	WP_000800512.1	100	100	eda	b1850	kdgA	LF82_RS09635	0.632393383	0.003911262	-0.924249319	8.7006E-14
NP_415706.1	WP_000190855.1	100	99.804	ycgB	b1188	ycgB	LF82_RS06285	-0.209508514	0.535495435	-0.016234451	0.958423447
NP_415618.1	WP_000480245.1	100	100	ycfH	b1100	ycfH	LF82_RS05565	-0.181890208	0.580012691	-0.111570165	0.453670912
NP_416515.1	WP_000980569.1	100	98.737	sbcB	b2011	sbcB	LF82_RS10665	0.314196363	0.259588455	-0.231951714	0.133182295
NP_414954.1	WP_000006816.1	100	99.677	dxs	b0420	dxs	LF82_RS02065	-0.04211625	0.879540677	0.059727532	0.621597597
NP_417167.1	WP_000445658.1	100	99.592	ygaZ	b2682	ygaZ	LF82_RS13905	0.915760947	0.000912011	-0.954122558	6.25027E-16
NP_418434.1	WP_001187555.1	100	98.866	purH	b4006	purH	LF82_RS21145	1.063632842	0.004355381	0.027293907	0.893930699
NP_416876.1	WP_000825598.1	100	98.578	yfdX	b2375	yfdX	LF82_RS12385	-0.110042579	NA	0.294660391	NA
NP_415002.1	WP_000127356.1	100	100	apt	b0469	apt	LF82_RS02315	-0.271024851	0.425563058	-0.30055049	0.001064068
NP_415451.1	WP_001298298.1	100	99.75	pncB	b0931	pncB	LF82_RS04485	-0.011823648	0.979180406	-0.197758607	0.043748994
NP_418589.1	WP_000981977.1	100	100	tsaE	b4168	tsaE	LF82_RS22385	-0.292742707	0.301598976	0.165241051	0.430098553
NP_415481.1	WP_001261236.1	100	99.324	yccF	b0961	yccF	LF82_RS04605	-0.336971967	0.281426816	0.532258775	0.001299192
YP_004831120.1	WP_000797657.1	100	100	pmrR	b4703	pmrR	LF82_RS21810	0.295764968	0.37498313	0.140044033	0.431234981
NP_414723.1	WP_000565966.1	100	100	lpxA	b0181	lpxA	LF82_RS00945	0.048158306	0.897496171	0.053199623	0.624368188
NP_414927.1	WP_001298537.1	100	100	rdgC	b0393	rdgC	LF82_RS01935	0.065598992	0.870440206	0.115721677	0.337796437
NP_416877.1	WP_000867654.1	100	89.011	ypdI	b2376	ypdI	LF82_RS12390	-0.083628443	NA	NA	NA
NP_416466.1	WP_000009302.1	100	98.333	yodC	b1957	yodC	LF82_RS10155	0.087518679	0.829709261	0.099406548	0.742667339
NP_416355.1	WP_000168747.1	100	100	yobA	b1841	yobA	LF82_RS09585	-0.829224253	0.001625148	0.420478848	0.00072893
NP_417428.2	WP_001277222.1	100	98.958	yggU	b2953	yggU	LF82_RS15335	0.406500511	0.125832356	-0.379309008	0.040651882
NP_418002.2	WP_001269202.1	100	99.645	eptB	b3546	eptB	LF82_RS18615	0.139709838	0.702872417	-0.23628629	0.113819193
NP_417847.1	WP_000343174.1	100	99.065	damX	b3388	damX	LF82_RS17710	0.097829744	0.78716606	-0.178474659	0.021180938
NP_414576.4	WP_000333104.1	100	98.473	caiF	b0034	caiF	LF82_RS00180	0.011839928	0.979180406	-0.154762766	NA
NP_415960.1	WP_000555330.1	100	99.242	ydcV	b1443	ydcV	LF82_RS07395	0.135630656	NA	0.080228249	NA
NP_417916.1	WP_000778808.1	99	96.825	panZ	b3459	panM	LF82_RS18105	0.12886582	0.731792205	-0.107156263	0.680445847
NP_417990.4	WP_000025857.1	100	99.427	bcsA	b3533	bcsA	LF82_RS18530	0.334714668	0.193368459	-0.186022157	0.347395007
NP_415516.1	WP_001230247.1	100	99.487	torC	b0996	torC	LF82_RS05055	-0.08860385	NA	-0.090157152	NA
NP_416265.4	WP_000939209.1	100	98.667	ydjY	b1751	ydjY	LF82_RS09100	0.308381071	NA	-0.00358514	NA
NP_416056.1	WP_014640153.1	100	98.238	dcp	b1538	dcp	LF82_RS07900	-0.121189064	0.72788363	0.449271767	0.003157402
YP_026270.1	WP_000459600.1	100	99.415	tatB	b3838	tatB	LF82_RS20235	0.19328806	0.471422231	-0.142186227	0.209632726
NP_416797.2	WP_000426124.1	100	100	yfbU	b2294	yfbU	LF82_RS12055	0.366554801	0.218693828	-0.430687893	0.009221607
NP_418004.4	WP_000584465.1	100	98.276	yhjY	b3548	yhjY	LF82_RS18650	0.180350112	0.606684586	0.23060546	0.392393498
NP_417385.4	WP_001295378.1	100	100	ygfB	b2909	ygfB	LF82_RS15105	0.57357251	0.010091806	-0.552249817	5.23672E-07
NP_416756.6	WP_000012637.1	98	98.153	arnB	b2253	arnB	LF82_RS11865	1.532570844	2.18028E-06	0.524536042	0.022913545
NP_418569.1	WP_001008030.1	100	96.54	yjeJ	b4145	yjeJ	LF82_RS22270	0.040749956	0.922930488	-0.309702096	0.23400794
NP_415423.1	WP_001292822.1	100	100	pflB	b0903	pflB	LF82_RS04340	0.768426304	0.015823571	-0.743552463	1.60633E-13
YP_002791260.1	WP_000893994.1	100	100	yshB	b4686	yshB	LF82_RS20380	-0.215307836	0.538608478	0.463265889	0.01459177
NP_415087.1	WP_001069910.1	99	33.721	rrrD	b0555	lysB	LF82_RS13660	NA	NA	0.158902449	0.584110885
NP_418459.1	WP_000179165.1	100	100	malK	b4035	malK	LF82_RS21355	1.493775194	0.004937915	-0.033771534	NA
NP_417073.1	WP_000189209.1	100	99.487	eamB	b2578	eamB	LF82_RS13310	-0.053142329	0.896211405	0.001177151	0.995352645
NP_415566.1	WP_001300662.1	100	99.804	opgG	b1048	mdoG	LF82_RS05305	0.248700562	0.390120458	-0.555673686	1.19458E-09
NP_417384.1	WP_001280386.1	100	98.639	pepP	b2908	pepP	LF82_RS15100	0.746830883	0.000930536	-0.522570077	9.50145E-08
NP_417146.2	WP_000271996.1	100	97.393	lhgD	b2660	lhgO	LF82_RS13790	0.206738815	NA	0.111550067	0.61109697
NP_415170.4	WP_001161664.1	100	100	rsfS	b0637	rsfS	LF82_RS03015	0.097328229	0.802668612	0.617139011	1.29535E-06
NP_417023.1	WP_000028953.1	100	100	iscA	b2528	iscA	LF82_RS13075	0.216400533	0.508451002	0.072460801	0.653594861
NP_414821.1	WP_001019923.1	100	99.51	yagU	b0287	yagU	LF82_RS23705	0.43372374	NA	-0.74754241	0.001533856
NP_417066.1	WP_000812041.1	100	99.371	rseB	b2571	rseB	LF82_RS13270	-0.205473242	0.559945536	0.218816255	0.07560066
NP_418350.1	WP_001076748.1	100	99.667	fieF	b3915	fieF	LF82_RS20645	0.279907848	0.262790669	-0.41099139	0.00166641
NP_415912.1	WP_000999671.1	94	31.349	paaG	b1394	rplI	LF82_RS22595	-0.191657986	NA	-0.006845266	NA
NP_416264.4	WP_001304313.1	100	97.881	ydjX	b1750	ydjX	LF82_RS09095	0.13611874	0.713133394	-0.25467316	0.341079777
NP_417246.4	WP_001314080.1	100	96.454	ygcN	b2766	ygcN	LF82_RS14320	0.080733839	0.830126841	-0.542771466	0.006742137
NP_417986.4	WP_001266321.1	100	99.396	pdeK	b3529	hmsP	LF82_RS18510	-0.057873292	0.861412286	0.406358096	0.001232957
NP_414923.1	WP_001142439.1	100	100	yaiA	b0389	yaiA	LF82_RS01905	-0.178781552	0.585272178	0.636772718	3.41582E-05
NP_416098.1	WP_001298659.1	100	99.505	rspA	b1581	rspA	LF82_RS08220	0.102933008	NA	-0.195608002	NA
NP_414595.1	WP_000800457.1	100	100	surA	b0053	surA	LF82_RS00285	0.160821663	0.602251457	-0.207878936	0.0111544
NP_414613.1	WP_000818231.1	99	99	leuD	b0071	leuD	LF82_RS00375	-0.24592141	NA	-0.658584585	0.018001948
YP_026229.1	WP_001135732.1	100	100	hokA	b4455	hokA	LF82_RS18695	-0.569877361	0.077436352	NA	NA
NP_415414.4	WP_000850287.1	100	99.509	dmsA	b0894	dmsA	LF82_RS04310	0.133397922	0.721115251	0.017039093	0.947759649
NP_415400.1	WP_000188129.1	100	99.383	macB	b0879	macB	LF82_RS04205	-0.065831384	0.867909231	0.158113837	0.448768738
NP_417244.1	WP_000211919.1	100	98.998	cysJ	b2764	cysJ	LF82_RS14310	-0.019216131	0.964957407	0.050243273	0.875158237
NP_415354.1	WP_000950322.1	100	98.599	pdeI	b0833	pdeI	LF82_RS03965	-0.289740338	0.390979062	0.045960512	0.816439729
NP_417401.1	WP_000111269.1	100	100	pgk	b2926	pgk	LF82_RS15170	0.367750183	0.216942899	-0.520192011	4.99667E-08
NP_417161.1	WP_000246591.1	100	98.179	nrdE	b2675	nrdE	LF82_RS13875	0.059544484	0.881703357	-0.075543051	0.716502719
NP_414824.1	WP_001265646.1	100	99.269	ecpD	b0290	ecpD	LF82_RS01455	0.116210639	0.758993092	0.154106184	0.530508307
NP_415718.6	WP_000733694.1	100	99.157	dhaK	b1200	dhaK	LF82_RS06370	0.054488139	0.893589315	-0.279304081	0.084501283
NP_418489.1	WP_000402206.1	100	99.454	yjcE	b4065	yjcE	LF82_RS21535	0.243318007	0.430234956	0.084788713	0.697609025
NP_416043.1	WP_000366517.1	100	97.952	yneJ	b1526	yneJ	LF82_RS07815	0.013802851	NA	-0.145333902	0.568265443
NP_417733.1	WP_000825647.1	100	98.63	yhdV	b3267	acrF	LF82_RS17120	-0.040036655	NA	-0.035430414	NA
NP_415630.1	WP_000800153.1	100	100	bhsA	b1112	bhsA	LF82_RS05625	0.156429089	NA	-0.065248112	0.798502186
YP_001165321.1	WP_000102278.1	100	100	cydH	b4602	cydH	LF82_RS08620	0.398579441	0.171474029	-0.071943106	0.647012064
YP_001165314.1	WP_000120100.1	98	92.857	ymgI	b4593	ymgG	LF82_RS06205	-0.1075356	NA	0.377637264	NA
NP_414901.1	WP_000114575.1	100	96.727	tauC	b0367	tauC	LF82_RS01810	-0.002855112	NA	-0.082120826	NA
YP_026212.2	WP_000493588.1	100	99.254	nirC	b3367	nirC	LF82_RS17635	-0.161862495	0.634612451	-0.712973567	0.006070397
NP_418546.1	WP_000066699.1	100	99.27	fumB	b4122	fumB	LF82_RS21865	0.148463511	0.67948835	-0.030658984	0.891432938
NP_415754.1	WP_000068083.1	100	98.537	tdk	b1238	tdk	LF82_RS06600	0.112601314	0.764842588	-0.470023109	0.014480971
NP_416367.1	WP_001056695.1	100	99.308	yebK	b1853	hexR	LF82_RS09655	0.309362041	0.320483985	-0.376869134	0.051841052
YP_001165308.1	WP_072093903.1	100	84.848	ylcH	b4588	ybcK	LF82_RS25110	-0.162126966	0.634936918	-0.249975447	NA
NP_418547.1	WP_000899522.1	100	100	dcuB	b4123	dcuB	LF82_RS21870	0.169740104	0.634612451	0.089830959	0.75956383
NP_417996.1	WP_014640225.1	100	98.109	yhjV	b3539	yhjV	LF82_RS18570	-0.068222455	0.866716101	-0.27037343	0.13248579
NP_417450.1	WP_000084095.1	100	98.064	glcB	b2976	glcB	LF82_RS15570	-0.39394767	0.145565332	0.343418964	0.070061287
NP_416554.1	WP_000699753.1	100	98.526	wcaI	b2050	wcaI	LF82_RS10825	-0.11309255	NA	0.215670398	NA
NP_418591.1	WP_015912590.1	100	98.537	mutL	b4170	mutL	LF82_RS22395	0.198614692	0.497812214	0.027934613	0.843868559
NP_415935.2	WP_001350640.1	100	98.295	cybB	b1418	cybB	LF82_RS07285	-0.477437238	0.070468706	0.324461057	0.056796856
NP_417644.4	WP_000764750.1	100	99.645	folP	b3177	folP	LF82_RS16650	0.179801191	0.574067953	-0.042939147	0.782824947
NP_415794.1	WP_001256550.1	100	99.213	pgpB	b1278	pgpB	LF82_RS06815	0.348773661	0.185421353	-0.14626187	0.466153681
NP_416463.4	WP_000844800.1	100	100	yodD	b1953	yodD	LF82_RS10140	-0.027012758	NA	0.09581875	NA
NP_414991.4	WP_000136192.1	100	100	ylaC	b0458	ylaC	LF82_RS02255	-0.952864706	8.78799E-06	0.49784435	0.000162914
NP_415201.1	WP_000153129.1	100	100	umpH	b0675	nagD	LF82_RS03150	-0.460239716	0.026885195	0.183082253	0.177205595
NP_416341.1	WP_001262189.1	100	98.859	kdgR	b1827	kdgR	LF82_RS09500	-0.192240051	0.508599106	0.48007078	0.00023063
YP_026262.1	WP_000339107.1	100	99.662	rarD	b3819	rarD	LF82_RS20030	-0.598112531	0.055693168	0.192342485	0.331893788
NP_417918.1	WP_000130217.1	100	100	rpoH	b3461	rpoH	LF82_RS18120	0.192276137	0.558088219	-0.130654096	0.215250851
NP_415403.1	WP_000934041.1	100	100	clpA	b0882	clpA	LF82_RS04220	0.051977656	0.894669092	0.213841385	0.015371489
NP_416270.1	WP_001298231.1	100	95.853	ynjD	b1756	ynjD	LF82_RS09125	-0.227299337	NA	-0.01455103	0.961844171
YP_026192.1	WP_000896890.1	100	99.718	yghQ	b2983	lptF	LF82_RS15645	-0.051136331	NA	-0.16572243	NA
NP_415427.1	WP_000057158.1	100	98.895	serC	b0907	serC	LF82_RS04360	0.257792949	0.390979062	-0.756701866	4.58404E-09
NP_418248.1	WP_000026059.1	100	97.967	hemD	b3804	hemD	LF82_RS19950	0.827389993	0.002199125	-0.724682301	5.15193E-08
NP_415437.1	WP_000350058.1	100	100	ycaR	b0917	ycaR	LF82_RS04410	0.240057367	0.471111149	-0.648554668	0.003654009
NP_414971.1	WP_000122253.1	100	100	clpP	b0437	clpP	LF82_RS02155	0.085255885	0.809857006	0.109333843	0.32825729
NP_415205.1	WP_001023115.1	100	99.228	nagE	b0679	nagE	LF82_RS03170	0.291803485	0.384922577	-0.690613251	3.53329E-06
NP_414743.1	WP_000997016.1	100	97.378	dkgB	b0207	dkgB	LF82_RS01080	-0.131352618	0.725615999	0.122237751	0.507971454
NP_416157.1	WP_000835066.1	100	99.458	anmK	b1640	anmK	LF82_RS08530	0.280621424	0.383235655	-0.262726304	0.281519061
NP_414919.1	WP_000484068.1	100	99.191	dgcC	b0385	adrA	LF82_RS01885	-0.03895385	NA	0.125565327	0.667476627
NP_418072.1	WP_000982068.1	100	98.837	waaH	b3615	waaH	LF82_RS18975	-0.171648771	0.62309216	0.328597718	0.166856882
NP_418487.1	WP_000412431.1	100	99.351	soxR	b4063	soxR	LF82_RS21525	0.073255496	0.862959679	-0.207182292	0.441088302
NP_415722.1	WP_000152933.1	100	100	pth	b1204	pth	LF82_RS06390	0.016204857	0.972186926	-0.090449496	0.632008303
NP_417514.4	WP_001357687.1	99	85.263	ubiK	b3042	ubiK	LF82_RS16040	-0.348924525	0.252206293	0.459291485	0.000414885
NP_416243.1	WP_001010714.1	100	99.352	tcyP	b1729	tcyP	LF82_RS08990	0.301631086	0.361433355	-0.266140195	0.309659081
NP_417459.1	WP_001076282.1	100	97.89	yghS	b2985	yghS	LF82_RS15655	-0.380675535	NA	0.122424905	NA
NP_416146.1	WP_000915678.1	100	94.065	rsxC	b1629	rsxC	LF82_RS08470	-0.108151426	0.780384628	0.131296591	0.20163659
NP_417176.1	WP_000906486.1	100	100	csrA	b2696	csrA	LF82_RS13975	0.137789949	0.68125759	-0.261354191	0.010420011
NP_416611.1	WP_000405732.1	100	97.965	yehA	b2108	yehA	LF82_RS11100	0.162989622	NA	-0.054545896	NA
NP_416881.1	WP_000544377.1	100	99.823	pyrS	b2380	ypdA	LF82_RS12415	-0.011451118	0.979180406	-0.082824234	0.659674333
NP_417222.1	WP_001272592.1	100	100	nlpD	b2742	nlpD	LF82_RS14235	0.183344628	0.553454716	0.072886498	0.588203583
NP_415292.2	WP_000593913.1	100	98.938	ybhJ	b0771	ybhJ	LF82_RS03640	0.006171266	0.987935859	0.227933472	0.38374951
NP_415494.1	WP_000003644.1	100	95.897	hyaD	b0975	hyaD	LF82_RS04680	-0.221257519	NA	0.038598713	NA
NP_416132.2	WP_001226994.1	100	99.287	uidC	b1615	uidC	LF82_RS08395	0.032434192	NA	-0.079270335	NA
NP_415684.1	WP_000888771.1	100	97.727	ariR	b1166	ariR	LF82_RS06160	-0.17579036	NA	0.093421574	0.758377955
NP_414941.1	WP_000007629.1	100	100	yajC	b0407	yajC	LF82_RS02000	-0.344195154	0.107105095	0.424378194	2.15285E-07
NP_417971.1	WP_000024848.1	100	99.421	mdtF	b3514	mdtF	LF82_RS18430	-0.006364528	0.987935859	0.697178878	0.000427188
NP_415376.4	WP_000996010.1	100	99.469	potG	b0855	potG	LF82_RS04080	-0.09148038	0.81842194	0.170038105	0.524483686
NP_415970.4	WP_001340130.1	100	99.599	ansP	b1453	yncG	LF82_RS07455	0.058981634	NA	0.515286539	0.001278045
NP_418505.2	WP_001275182.1	100	97.657	mdtO	b4081	mdtO	LF82_RS21655	-0.178226711	0.616924358	-0.176998545	0.533461442
NP_415784.1	WP_014640137.1	97	95.41	yciQ	b1268	yciQ	LF82_RS06740	0.051531192	0.895289142	0.004830633	0.980706404
NP_418807.4	WP_000093813.1	100	99.756	nadR	b4390	nadR	LF82_RS23460	0.283692024	0.355732967	0.209271644	0.195995661
NP_418443.1	WP_000096035.1	100	99.348	metH	b4019	metH	LF82_RS21215	-0.111984445	0.768295955	0.184606332	0.219759219
NP_417609.1	WP_000534351.1	100	99.62	agaD	b3140	agaD	LF82_RS16485	-0.119060979	NA	-0.13831769	NA
NP_415188.1	WP_001298614.1	100	99.007	gltI	b0655	gltI	LF82_RS03070	-0.256819701	0.451823028	-0.55801119	0.001343411
YP_002791244.1	WP_072093883.1	100	90.476	yobI	b4677	yobI	LF82_RS25260	NA	NA	NA	NA
NP_414683.1	WP_001314434.1	100	86.224	yadN	b0141	htrE	LF82_RS00755	-0.193791434	NA	-0.006528409	NA
NP_415276.1	WP_001295305.1	100	100	gpmA	b0755	gpmA	LF82_RS03560	0.008664617	0.980245752	0.154738436	0.081827425
NP_415369.1	WP_000681104.1	100	99.2	ybjM	b0848	ybjM	LF82_RS04040	0.297579131	0.384922577	-0.415741867	0.118856277
NP_415632.1	WP_001443233.1	100	99.303	mfd	b1114	mfd	LF82_RS05635	-0.318587562	0.164320604	0.251058071	0.025218892
NP_417072.4	WP_001298616.1	100	97.611	yfiE	b2577	yfiE	LF82_RS13305	-0.1193427	0.740774637	0.107114164	0.702092288
NP_415056.1	WP_001295318.1	100	100	purE	b0523	purE	LF82_RS02570	1.010293182	0.004004224	-0.443708549	0.028052139
NP_418468.3	WP_001562441.1	96	98.866	dinF	b4044	dinF	LF82_RS21395	-0.2367941	0.460401431	0.04177838	0.869310014
NP_416219.1	WP_001082224.1	100	99.425	aroH	b1704	aroH	LF82_RS08865	0.071428312	0.862959679	0.127835239	0.422639022
NP_414547.1	WP_000906188.1	100	98.062	yaaA	b0006	yaaA	LF82_RS00030	-0.098674316	0.788484598	0.01751633	0.942621947
NP_416801.2	WP_001274489.1	100	99.802	yfcC	b2298	yfcC	LF82_RS12080	0.210185337	0.539874191	-0.159792874	0.564486988
NP_417431.1	WP_000745184.1	100	98.209	yggM	b2956	yggM	LF82_RS15350	-0.158837846	0.658310553	0.142917826	0.617481711
NP_417068.1	WP_001295364.1	100	100	rpoE	b2573	rpoE	LF82_RS13280	-0.227558233	0.493138081	0.626558773	2.84881E-08
NP_415745.1	WP_001160110.1	100	99.556	narI	b1227	narI	LF82_RS06515	0.024923135	0.954084935	0.021679685	NA
NP_414925.1	WP_000941942.1	100	100	ppnP	b0391	ppnP	LF82_RS01930	-0.156509334	0.666168013	-0.185771427	0.261658668
YP_025302.1	WP_000854639.1	100	99.586	uxaB	b1521	uxaB	LF82_RS07790	0.040747475	0.915267361	-0.111693811	0.701698149
NP_417652.1	WP_000940595.1	100	100	rpmA	b3185	rpmA	LF82_RS16690	-0.033486033	0.937868214	-0.097330185	0.21360458
NP_418607.1	WP_000943955.1	100	98.966	yjfC	b4186	yjfC	LF82_RS22475	-0.024453665	0.954405392	-0.096133643	NA
NP_415132.1	WP_001120423.1	100	98.343	hcxA	b0599	hcxA	LF82_RS02835	-0.120467479	NA	0.242298538	0.295990498
NP_417556.2	WP_001295542.1	100	98.802	ygjP	b3085	ygjP	LF82_RS16235	0.073030116	0.86237723	-0.133469642	0.61099421
NP_417883.1	WP_000371926.1	100	99.074	glpE	b3425	glpE	LF82_RS17895	-0.33931067	0.250034452	0.035291427	0.868149651
YP_026238.1	WP_001198730.1	100	99.024	dgoA	b4477	dgoA	LF82_RS19400	-0.03613685	0.929525351	0.169631458	NA
